24AC95C7  // 2.29214
25A3E5D7  // 2.35251
25B63EEB  // 2.35699
26E35862  // 2.4305
2886E619  // 2.53293
29392B6E  // 2.57646
28B4967B  // 2.54409
27CBED86  // 2.48729
276C7E00  // 2.46399
27A9519C  // 2.47884
27A968E2  // 2.47886
26DAD553  // 2.42843
25BFD2B0  // 2.35933
25070273  // 2.31421
24A82203  // 2.29105
2461C05D  // 2.27387
24139B50  // 2.25479
235C3C2E  // 2.21002
21FC47C8  // 2.12409
2090640B  // 2.03525
1FDB6CF2  // 1.99107
1FB58E69  // 1.98183
1F86DFB4  // 1.97043
1F23C33C  // 1.94623
1E900E84  // 1.91017
1DBEA02C  // 1.85904
1D011C2F  // 1.81277
1CF06500  // 1.80869
1D9A4887  // 1.85017
1E577806  // 1.89635
1EA24622  // 1.91462
1EC4EF3F  // 1.92308
1F7C54D5  // 1.96785
20F829F5  // 2.06059
2288D068  // 2.1584
2389E5AC  // 2.22117
24370D69  // 2.26344
2526F07C  // 2.32201
2669FB54  // 2.40087
27B48E77  // 2.48158
28EAAD3A  // 2.55729
29FBC962  // 2.62397
2AB136C0  // 2.66827
2B146A1B  // 2.69248
2B927253  // 2.72325
2C6415D9  // 2.77443
2D35F234  // 2.82567
2D974C40  // 2.84944

