FF2086F2  // -0.0545588
FF1D7987  // -0.055304
FF1253B4  // -0.0580256
FF0D875A  // -0.0591971
FF214C69  // -0.0543705
FF3CE95A  // -0.047629
FF3F86A6  // -0.0469907
FF2BCD44  // -0.0518062
FF0E62C2  // -0.0589878
FEDABE82  // -0.0715957
FEBECD51  // -0.0784175
FF3CFBF8  // -0.0476113
004F022B  // 0.0192892
00F7223F  // 0.0603354
00AF3DEB  // 0.0427837
009F1BC8  // 0.0388449
01F2B52C  // 0.121755
03934911  // 0.223458
034E7D50  // 0.206662
00E85508  // 0.0567217
FE4BBA50  // -0.106512
FCEC3BB4  // -0.192326
FC8B43CE  // -0.216
FC6979C7  // -0.224249
FC4A5C9A  // -0.231845
FC347382  // -0.237195
FC1CFB0D  // -0.242925
FC0BBC98  // -0.247135
FC3512EE  // -0.237042
FCC88441  // -0.201046
FDA93FD9  // -0.146179
FE6CAF80  // -0.0984654
FEC2DDD5  // -0.0774252
FECB727D  // -0.0753303
FED65811  // -0.0726699
FEF65A6F  // -0.0648552
FF09D2DB  // -0.0601016
FF0563D2  // -0.0611841
FEFC50E9  // -0.0633994
FEFAEABC  // -0.063741
FEFF5BFE  // -0.0626564
FF03B061  // -0.0615994
FEFE0D39  // -0.0629757
FEEA3200  // -0.0678234
FED5A01A  // -0.0728454
FECF390E  // -0.0744085
FED03F5F  // -0.0741583
FEC8371F  // -0.0761193
FEB5C25A  // -0.0806252
FEA20240  // -0.0854471
FE8FA95D  // -0.0899264
FE80045E  // -0.0937458
FE7B9F26  // -0.0948189
FE83B6B4  // -0.0928433
FE85C9B2  // -0.0923369
FE704CE1  // -0.0975829
FE4E224E  // -0.105924
FE3C39F2  // -0.110296
FE4521A5  // -0.108122
FE5745E2  // -0.103693
FE60E6A7  // -0.101343
FE633800  // -0.100777
FE659341  // -0.100201
FE6B7EC7  // -0.098756
FE7D2FB0  // -0.0944369
FEA0F8DA  // -0.0857002
FEC794B3  // -0.0762742
FED9D858  // -0.0718152
FEDB41A3  // -0.0714706
FEE4A9A6  // -0.0691741
FEFF8CB0  // -0.06261
FF1CEA89  // -0.0554404
FF2B6D1B  // -0.0518979
FF28B8DF  // -0.0525581
FF21CB55  // -0.0542494
FF25D9A7  // -0.0532592
FF3601A1  // -0.0493149
FF453A77  // -0.0455985
FF46E4A5  // -0.0451921
FF390689  // -0.0485778

FB86CAB3  // -0.279592
FBA8CC36  // -0.27129
FBE1FDEA  // -0.257326
FC2E3BE0  // -0.238712
FC79B576  // -0.220286
FCB341B2  // -0.206236
FCCAA9CC  // -0.200522
FCC8A27B  // -0.201017
FCD45FBB  // -0.198151
FCFDA328  // -0.188077
FD297D74  // -0.177371
FD48B80B  // -0.169746
FD66BF10  // -0.162415
FD803797  // -0.156197
FD8AE4C9  // -0.15359
FD96A3D3  // -0.150723
FDAF8693  // -0.144647
FDBC7314  // -0.141492
FD9DCD89  // -0.148974
FD53B360  // -0.167065
FD059DC0  // -0.186129
FCEE6A9D  // -0.191793
FD182A59  // -0.1816
FD31AB53  // -0.175374
FCEFE117  // -0.191436
FC8408BB  // -0.217765
FC594EBA  // -0.228196
FC7DDBD6  // -0.219273
FCA4592E  // -0.209876
FC97CEB4  // -0.212938
FC6734A5  // -0.224803
FC3D4533  // -0.235041
FC395D15  // -0.235995
FC57C42B  // -0.228573
FC71F8F4  // -0.222175
FC6B368A  // -0.223825
FC5342FB  // -0.229672
FC49AB09  // -0.232015
FC5701BC  // -0.228758
FC73C7E5  // -0.221733
FC959880  // -0.213478
FCA7384E  // -0.209175
FC97363E  // -0.213083
FC78C4BC  // -0.220516
FC72C2C3  // -0.221982
FC8BB4F1  // -0.215892
FCA8CD71  // -0.208788
FCB84374  // -0.205014
FCB94170  // -0.204772
FCADFD15  // -0.207522
FCA96BD8  // -0.208637
FCC8B093  // -0.201003
FCFD08E5  // -0.188224
FD0E66DE  // -0.183984
FCED350B  // -0.192088
FCBD51D1  // -0.203779
FC9B0354  // -0.212155
FCD09532  // -0.199076
FE0AA965  // -0.122397
0065F8C6  // 0.0248955
0292D963  // 0.160852
0361FFD7  // 0.211426
03E75297  // 0.243975
