FE7C86D4  // -0.094598
FE95C289  // -0.0884375
FE99AD61  // -0.0874811
FEA2E782  // -0.0852284
FEACDC4A  // -0.0827977
FEAEC35F  // -0.0823332
FEAE3B98  // -0.0824627
FEB167FA  // -0.0816879
FEB5A0B7  // -0.0806573
FEB6EAAC  // -0.0803426
FEB141F2  // -0.0817242
FEA160A5  // -0.0856012
FE8F1978  // -0.0900636
FE877401  // -0.0919304
FE875959  // -0.0919558
FE81B191  // -0.0933365
FE779677  // -0.0958038
FE702F1D  // -0.0976113
FE63F97D  // -0.100592
FE4D7D72  // -0.106082
FE3D5E21  // -0.110018
FE410F7E  // -0.109116
FE49A3B5  // -0.107022
FE43EC59  // -0.108417
FE346DBE  // -0.1122
FE2A0475  // -0.114742
FE29A58D  // -0.114832
FE30F741  // -0.113045
FE3A07B5  // -0.110832
FE3B2586  // -0.11056
FE33CDA2  // -0.112353
FE3385AB  // -0.112421
FE452653  // -0.108118
FE5EA57A  // -0.101893
FE713EFC  // -0.097352
FE7BF259  // -0.0947396
FE8695C4  // -0.0921423
FE98867C  // -0.0877624
FEB58AC8  // -0.0806782
FED68ADA  // -0.0726215
FEE9927B  // -0.0679755
FEE533F7  // -0.0690422
FED5C5A8  // -0.0728095
FECFC156  // -0.0742785
FEDB1D13  // -0.0715055
FEEE220B  // -0.0668621
FEF8300F  // -0.0644073
FEF2D95F  // -0.0657107
FEE77634  // -0.0684908
FEE1DC53  // -0.0698582

