04522403  // 0.270054
044CB309  // 0.268725
043BD6ED  // 0.264609
042CA67F  // 0.260901
040D8575  // 0.253301
03DD2937  // 0.241494
03BDCECD  // 0.23384
03BF1BB5  // 0.234157
03C96E61  // 0.236678
03C16CC2  // 0.234723
03A0CA39  // 0.226755
037B0693  // 0.217536
03722A9B  // 0.215373
0390C12E  // 0.22284
03BB63AA  // 0.233249
03D75F28  // 0.240081
03E1D33C  // 0.242633
03E1B775  // 0.242607
03EC3C8F  // 0.245175
041FD638  // 0.257773
046FEF63  // 0.277328
04A33900  // 0.289849
04A92666  // 0.291296
04B2499B  // 0.293527
04DB6AD1  // 0.303569
0504E481  // 0.313694
050EB5E3  // 0.316091
05037E19  // 0.313353
04FCCD99  // 0.31172
05024521  // 0.313054
050F3350  // 0.316211
0524C5EA  // 0.321478
05417A4E  // 0.328486
054EAD3B  // 0.331708

134B46C5  // 1.20588
13143DFA  // 1.19244
12EDAF48  // 1.18303
12E384B4  // 1.18055
12E63138  // 1.1812
12FDEE8E  // 1.187
1317DEC3  // 1.19333
13000890  // 1.18751
12C24056  // 1.17242
12AAB3F2  // 1.16668
12CAE974  // 1.17454
12E6B0D1  // 1.18132
12DDBFD3  // 1.17914
12C14C0B  // 1.17219
1298E01F  // 1.16232
1278EED3  // 1.15452
12A1FF63  // 1.16455
1321B714  // 1.19573
139A1F63  // 1.22513
13C688B4  // 1.23597
13DDF8E8  // 1.24169
142721FB  // 1.25955
149A43A7  // 1.28766
151EAEF9  // 1.31999
15A5DA7B  // 1.35299
15F4315A  // 1.37212
15D005E6  // 1.36329
15687321  // 1.338
152666B2  // 1.32188
15342265  // 1.32523
157B227A  // 1.34256
15D82468  // 1.36527
1611226B  // 1.37918
15E3800E  // 1.36804
1553D6CF  // 1.33297
14A9DAB2  // 1.29147
1403319C  // 1.25078
134A107A  // 1.20558
12A5B977  // 1.16546
126F9B53  // 1.15225
129D837D  // 1.16346
12BF07BE  // 1.17164
12A2645C  // 1.16465
12768C72  // 1.15394
12565671  // 1.14608
123B6085  // 1.1395
12419E70  // 1.14102
1274AAFE  // 1.15348
128DBC88  // 1.1596
12549D6B  // 1.14566
1205E51D  // 1.12644
12011067  // 1.12526
1249E829  // 1.14304
1291C93C  // 1.16059
128BB073  // 1.1591
1231BACC  // 1.13714
12115A73  // 1.12924
135139B4  // 1.20733
16B3E4C4  // 1.41892
1B17C33E  // 1.6933
1DDE6BBB  // 1.8668
1E2BB544  // 1.88567
1ED34703  // 1.92658
227CAADD  // 2.15544
264E9CEB  // 2.39419
24275F37  // 2.25961
1AB66439  // 1.66953
0F7B3473  // 0.967579
07CBA1F6  // 0.487215
03DAAFB6  // 0.24089
01A01BCB  // 0.101589
0075E17C  // 0.0287795
003B8B6A  // 0.0145373
002DFE61  // 0.0112289
003B7196  // 0.0145126
018FCF49  // 0.0976098
04E879D9  // 0.306757
09677A1B  // 0.587763
0D53F55E  // 0.832998
0F8B23AE  // 0.97147
104568B2  // 1.01695
10902C47  // 1.0352
1106BDD4  // 1.06415
1166EADA  // 1.08763
115F03CC  // 1.0857
1118F29D  // 1.06859
10E57A50  // 1.05602
10EC8708  // 1.05775
1124DF5A  // 1.0715
114284A8  // 1.07874
10F3E752  // 1.05955
105F5C2D  // 1.02328
0FF84193  // 0.998109
0FD66E7A  // 0.989851
0FB6C3E3  // 0.98212
0F7DD70C  // 0.968223
0F39D969  // 0.951623
0EDCE73E  // 0.928931
0E62DE27  // 0.899138
0DFE06B9  // 0.874518
0DD4CB43  // 0.864452
0DCBA07C  // 0.862214
0DB03AD9  // 0.855525
0D6F5295  // 0.839678
0D2446DF  // 0.821357
0D0AE14F  // 0.815156
0D456FCD  // 0.829452
0DB11AFC  // 0.855739
0E13C071  // 0.879822
0E5932D9  // 0.896777
0E8EA392  // 0.909824
0ED700B1  // 0.927491
0F62AFB4  // 0.961593
102C84E3  // 1.01087
10DD8B55  // 1.05409
113C7326  // 1.07726
117D2C1E  // 1.09306
11DEEFBD  // 1.11693
12488A82  // 1.14271
1280D30A  // 1.15645
12863DBA  // 1.15777
12827154  // 1.15685
1292D9A1  // 1.16085
12B98055  // 1.17029
12F0CB16  // 1.18379
132E9F15  // 1.19888
13515419  // 1.20736
13363FB7  // 1.20074
12F58032  // 1.18494

