FCE96A90  // -0.193014
FCAF2FB8  // -0.20723
FC9E180A  // -0.211403
FC978A31  // -0.213003
FC7E27EB  // -0.2192
FC659FDA  // -0.225189
FC5AE0AC  // -0.227813
FC4012AB  // -0.234357
FC0BD0F4  // -0.247115
FBE08719  // -0.257684
FBCFB725  // -0.261788
FBD1195D  // -0.26145
FBE4547A  // -0.256755
FBF0AC72  // -0.253742
FBBE30A1  // -0.266067
FB584293  // -0.290952
FB232907  // -0.303916
FB500AE8  // -0.292958
FB976DDF  // -0.27553
FBB8E5EC  // -0.267359
FBFABFA2  // -0.251282
FCF2CE87  // -0.190721
FECED477  // -0.0745044
00E03AA2  // 0.0547434
0221B6C2  // 0.133231
0274CB64  // 0.153514
02FBF505  // 0.186513
048A2882  // 0.28373
05EA851D  // 0.369756
04C63080  // 0.298386
00880538  // 0.0332081
FB51DF21  // -0.292512
F7964257  // -0.525816
F5C809AC  // -0.638663
F4F36CCE  // -0.69057
F46F943A  // -0.722759
F4232709  // -0.741418
F3FB2845  // -0.751182
F3EA2FBF  // -0.755326
F4166F78  // -0.744523
F4C017F1  // -0.703102
F61C31CE  // -0.618117
F814635C  // -0.495022
FA07BE2B  // -0.37311
FB3645B6  // -0.29925
FB8DB176  // -0.277907
FBA30D77  // -0.272692
FBE3FE8D  // -0.256837
FC3A77C5  // -0.235726
FC67D856  // -0.224647
FC58BD2F  // -0.228335
FC2B3C51  // -0.239444
FC12A7E3  // -0.245445
FC1F07E8  // -0.242424
FC239B82  // -0.241307
FBFBD681  // -0.251016
FBC3423F  // -0.264829
FB9D7B2F  // -0.274052
FB84D7F4  // -0.280067
FB71D97A  // -0.284705
FB66F96D  // -0.28736
FB49EB7F  // -0.294453
FB029C40  // -0.311863
FAB39851  // -0.331154
FA8A7EB9  // -0.341188
FA7DBA88  // -0.344305
FA702AB4  // -0.347616
FA5E8D67  // -0.351916
FA45E150  // -0.357939
FA1A9627  // -0.368509
F9ECD053  // -0.379684
F9E16701  // -0.38247
F9FF7D42  // -0.375125
